Date,BTC,ETH,USDT,DOT,XRP,ADA,LINK,LTC,BCH,BNB
2016-07-04,683.6619873046875,11.470999717712402,1.0,0.0,0.007027689833194017,0.0,0.0,4.540559768676758,0.0,0.0,
2016-07-05,670.6270141601562,10.61139965057373,1.0,0.0,0.006698859855532646,0.0,0.0,4.452280044555664,0.0,0.0,
2016-07-06,677.3309936523438,10.528900146484375,1.0,0.0,0.006690649781376123,0.0,0.0,4.468220233917236,0.0,0.0,
2016-07-07,640.56201171875,10.109399795532227,0.9999909996986389,0.0,0.006598399952054024,0.0,0.0,4.111879825592041,0.0,0.0,
2016-07-08,666.5230102539062,11.394599914550781,0.9999989867210388,0.0,0.0067154401913285255,0.0,0.0,4.219910144805908,0.0,0.0,
2016-07-09,650.9600219726562,10.965499877929688,0.9999989867210388,0.0,0.006679079961031675,0.0,0.0,4.163070201873779,0.0,0.0,
2016-07-10,649.3599853515625,10.947600364685059,0.9999989867210388,0.0,0.006674120202660561,0.0,0.0,4.099830150604248,0.0,0.0,
2016-07-11,647.6589965820312,10.458999633789062,1.0001599788665771,0.0,0.006533899810165167,0.0,0.0,4.085440158843994,0.0,0.0,
2016-07-12,664.551025390625,10.51609992980957,1.0,0.0,0.006349669769406319,0.0,0.0,4.153279781341553,0.0,0.0,
2016-07-13,654.468017578125,10.500499725341797,1.0,0.0,0.006410629954189062,0.0,0.0,4.1385498046875,0.0,0.0,
2016-07-14,658.0780029296875,11.513199806213379,1.0,0.0,0.006384919863194227,0.0,0.0,4.1484599113464355,0.0,0.0,
2016-07-15,663.2550048828125,11.951600074768066,1.0,0.0,0.006442009937018156,0.0,0.0,4.1597700119018555,0.0,0.0,
2016-07-16,660.7670288085938,11.652799606323242,1.0,0.0,0.006571940146386623,0.0,0.0,4.132669925689697,0.0,0.0,
2016-07-17,679.458984375,11.158699989318848,1.0,0.0,0.006537990178912878,0.0,0.0,4.189889907836914,0.0,0.0,
2016-07-18,673.1060180664062,11.03439998626709,1.0,0.0,0.006481879856437445,0.0,0.0,4.148220062255859,0.0,0.0,
2016-07-19,672.864013671875,11.619099617004395,1.0000100135803223,0.0,0.006405250169336796,0.0,0.0,4.149159908294678,0.0,0.0,
2016-07-20,665.6849975585938,12.450599670410156,1.0,0.0,0.006394760217517614,0.0,0.0,4.125060081481934,0.0,0.0,
2016-07-21,665.0120239257812,12.650699615478516,1.0,0.0,0.006416330114006996,0.0,0.0,4.120230197906494,0.0,0.0,
2016-07-22,650.6190185546875,14.66189956665039,1.0,0.0,0.006302929949015379,0.0,0.0,4.038290023803711,0.0,0.0,
2016-07-23,655.5560302734375,14.299699783325195,1.0,0.0,0.00631672004237771,0.0,0.0,4.057000160217285,0.0,0.0,
2016-07-24,661.2849731445312,12.749500274658203,1.0,0.0,0.006285510025918484,0.0,0.0,4.070670127868652,0.0,0.0,
2016-07-25,654.0969848632812,13.836099624633789,0.9999989867210388,0.0,0.00624629994854331,0.0,0.0,4.032040119171143,0.0,0.0,
2016-07-26,651.7839965820312,11.989500045776367,1.0,0.0,0.005997620057314634,0.0,0.0,3.9702401161193848,0.0,0.0,
2016-07-27,654.3519897460938,12.972800254821777,1.0,0.0,0.005969009827822447,0.0,0.0,3.955889940261841,0.0,0.0,
